0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Timestamp
-5953.28515625,2040,128,2064,7,221,495,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.048146
-5953.22265625,2039,128,2065,7,221,495,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.067724
-5953.16015625,2040,128,2064,7,221,495,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.087302
-5953.09765625,2040,128,2065,7,221,495,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.106880
-5953.03515625,2039,128,2064,7,221,495,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.126458
-5952.59765625,2041,128,2065,7,221,495,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.146036
-5952.53515625,2040,128,2064,7,221,495,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.165614
-5952.47265625,2039,128,2064,7,221,496,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.185192
-5952.41015625,2040,128,2065,7,221,496,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.204770
-5952.34765625,2041,128,2065,7,221,496,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.224348
-5952.28515625,2040,128,2065,7,221,496,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.243926
-5952.22265625,2040,128,2065,7,221,496,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.263504
-5952.16015625,2041,128,2065,7,221,496,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.283082
-5952.09765625,2040,128,2064,7,221,496,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.302660
-5952.03515625,2040,128,2065,7,221,496,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.322238
-5945.59765625,2040,128,2064,7,221,496,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.341816
-5945.53515625,2040,128,2065,7,221,496,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.361394
-5945.47265625,2040,128,2064,7,221,497,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.380972
-5945.41015625,2041,128,2065,7,221,497,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.400550
-5945.34765625,2040,128,2065,7,221,497,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.420128
-5945.28515625,2040,128,2065,7,221,497,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.439706
-5945.22265625,2040,128,2064,7,221,497,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.459284
-5945.16015625,2039,128,2064,7,221,497,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.478862
-5945.09765625,2041,128,2065,7,221,497,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.498440
-5945.03515625,2040,128,2065,7,221,497,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.518018
-5944.59765625,2040,128,2065,7,221,497,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.537596
-5944.53515625,2040,128,2065,7,221,497,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.557174
-5944.47265625,2040,128,2065,7,221,498,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.576752
-5944.41015625,2041,128,2064,7,221,498,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.596330
-5944.34765625,2041,128,2065,7,221,498,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.615908
-5944.28515625,2041,128,2064,7,221,498,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.635486
-5944.22265625,2040,128,2065,7,221,498,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.655064
-5944.16015625,2041,128,2065,7,221,498,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.674642
-5944.09765625,2041,128,2064,7,221,498,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.694220
-5944.03515625,2040,128,2064,7,221,498,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.713798
-5943.59765625,2041,128,2065,7,221,498,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.733376
-5943.53515625,2040,128,2064,7,221,498,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.752954
-5943.47265625,2040,128,2065,7,221,499,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.772532
-5943.41015625,2041,128,2065,7,221,499,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.792110
-5943.34765625,2040,128,2064,7,221,499,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.811688
-5943.28515625,2041,128,2064,7,221,499,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.831266
-5943.22265625,2041,128,2064,7,221,499,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.850844
-5943.16015625,2041,128,2065,7,221,499,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.870422
-5943.09765625,2040,128,2064,7,221,499,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.890000
-5943.03515625,2040,128,2065,7,221,499,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.909578
-5942.59765625,2040,128,2065,7,221,499,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.929156
-5942.53515625,2041,128,2065,7,221,499,0,0,0,170,42,0,0,2,0,0,17,8,00:01:37.948734
-5942.47265625,2040,128,2064,7,221,500,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.968312
-5942.41015625,2040,128,2064,7,221,500,0,0,0,170,42,0,0,2,0,0,16,8,00:01:37.987890
-5942.34765625,2041,128,2064,7,221,500,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.007468
-5942.28515625,2040,128,2065,7,221,500,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.027046
-5942.22265625,2040,128,2065,7,221,500,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.046624
-5942.16015625,2040,128,2064,7,221,500,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.066202
-5942.09765625,2041,128,2065,7,221,500,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.085780
-5942.03515625,2041,128,2065,7,221,500,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.105358
-5941.59765625,2040,128,2065,7,221,500,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.124936
-5941.53515625,2040,128,2063,7,221,500,0,0,0,170,42,0,0,2,0,0,15,8,00:01:38.144514
-5941.47265625,2041,128,2065,7,221,501,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.164092
