0,1,2,3,4,5,6,7,8,9,10,Timestamp
662.27734375,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.346937
662.3203125,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.398064
662.33984375,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.449191
662.3828125,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.500318
662.40234375,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.551445
662.4453125,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.602572
662.46484375,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.653699
662.5078125,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.704826
662.52734375,6144,55636,10256,55636,0,34816,55636,55636,51999,12810,00:05:08.755953
662.5703125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:08.807080
662.58984375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:08.858207
663.0078125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:08.909334
663.02734375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:08.960461
663.0703125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.011588
663.08984375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.062715
663.1328125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.113842
663.15234375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.164969
663.1953125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.216096
663.21484375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.267223
663.2578125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.318350
663.27734375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.369477
663.3203125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.420604
663.33984375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.471731
663.3828125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.522858
663.40234375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.573985
663.4453125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.625112
663.46484375,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.676239
663.5078125,6144,55636,10256,55636,0,34816,55636,55636,4796,12813,00:05:09.727366
663.52734375,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:09.778493
663.5703125,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:09.829620
663.58984375,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:09.880747
664.0078125,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:09.931874
664.02734375,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:09.983001
664.0703125,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.034128
664.08984375,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.085255
664.1328125,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.136382
664.15234375,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.187509
664.1953125,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.238636
664.21484375,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.289763
664.2578125,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.340890
664.27734375,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.392017
664.3203125,6144,55636,10256,55636,0,34816,55636,55636,2150,12822,00:05:10.443144
664.33984375,6144,55636,8208,55636,0,34816,55636,55636,2150,12822,00:05:10.494271
664.3828125,6144,55636,8208,55636,0,34816,55636,55636,2150,12822,00:05:10.545398
664.40234375,6144,55636,8208,55636,0,34816,55636,55636,2150,12822,00:05:10.596525
664.4453125,6144,55636,8208,55636,0,34816,55636,55636,2150,12822,00:05:10.647652
664.46484375,6144,55636,8208,55636,0,34816,55636,55636,2150,12822,00:05:10.698779
664.5078125,6144,55636,8208,55636,0,34816,55636,55636,2150,12822,00:05:10.749906
664.52734375,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:10.801033
664.5703125,6144,55636,8208,55636,0,34816,55636,55636,0,0,00:05:10.852160
